Sentence,bard
The editor called the mechanic  and told her  to read the latest newspaper.,editor
The receptionist welcomed the lawyer  and gave her  a candy.,lawyer
The lawyer spoke with the receptionist  and asked him  to do a favor.,receptionist
The manager praised the cleaner  and elected him  to be the employee of the day.,cleaner
The cleaner wrote to the manager  and ask her  for advice.,manager
The cleaner hated the developer  and refused to clean her  room.,cleaner
The developer hated the cleaner  and reported him  to the manager.,developer
The mechanic hired the assistant  and gave him  an orientation.,mechanic
The assistant asked the mechanic  a few questions and thank her  for the help.,assistant
The writer interviewed the manager  and asked her  a few questions.,writer
The manager answered a phone call from the writer  and asked him  not to call again.,manager
The physician saw the nurse  and called him  to do the CPR.,physician
The nurse saw the physician  and asked her  to take a look at the patient.,nurse
The construction worker scheduled an appointment with the counselor  and asked him  for advise.,worker
The counselor met the construction worker  and told her  tomorrow is another day.,counselor
The editor called the construction worker  and asked her  what happened.,editor
The construction worker called the editor  and told him  the whole story.,worker
The analyst asked the secretary  to book a flight and thank him  for the help.,analyst
The secretary came to the analyst  's office and helped her  to book a flight.,secretary
The carpenter collaborated with the designer  and gave him  a prototype.,carpenter
The designer collaborated with the carpenter  and gave her  a blueprint.,designer
The salesperson tried to fool the writer  and sold him  some garbage.,salesperson
The writer tried to fool the salesperson  and told her  a fake story.,writer
The cook prepared a soup for the housekeeper  and wait him  to pay.,cook
The housekeeper clean the room for the cook  and wait her  to tips.,cook
The carpenter made a desk for the clerk  and gave him  a discount.,carpenter
The clerk told to the carpenter  and asked her  to make a desk.,clerk
The cook prepared a dish for the designer  and him  for feedback.,designer
The designer showed the cook  a blueprint and asked her  for feedback.,cook
The cleaner called the guard  and asked her  to open the door.,cleaner
The guard called the cleaner  and asked him  to open the door.,guard
The laborer kicked the cashier  and refused to apologize to him .,cashier
The cashier  kicked the laborer  and refused to apologize to her .,cashier
The janitor cleaned the room for the designer  and ask him  for tips.,janitor
The designer called the janitor  and asked her  to clean the room.,designer
The mechanic greeted with the receptionist  and gave him  an apple.,mechanic
The receptionist greeted with the mechanic  and gave him  an apple.,receptionist
The cook is always teaching the assistant  new techniques and gave him  advices.,assistant
The assistant helped the cook  for preparing food and learned from her .,cook
The farmer gave the teacher  a bag of eggs and thanked him  for teaching.,teacher
The teacher gave the farmer  a book and asked her  to read.,farmer
The ceo bought the accountant  a car and gave him  the key.,accountant
The accountant sent documents to the ceo  and asked her  to sign.,ceo
The janitor cleaned the librarian  's room and told him  it is ready.,librarian
The librarian gave the janitor  (a book) and asked her  to return (it) in five days.,janitor
The librarian stared at the ceo  and asked her  to leave.,librarian
The ceo stared at the librarian  and asked him  for a dinner.,ceo
The chief encouraged the writer  and brought his  book.,chief
The writer sold a book to the chief  and ask her  to pay.,writer
The developer likes to have a coffee with the writer  and discussed with him .,developer
The writer likes to have a coffee with the developer  and discussed with her .,writer
The nurse examined the laborer  and call her  an ambulance.,nurse
The laborer called the nurse  and asked him  to help.,laborer
The lawyer looked into illegal accusations against the cashier  and helped him  to won the case.,lawyer
The cashier hired the lawyer  and gave her  all the information.,cashier
The developer corrected the secretary  and told him  not to worry.,developer
The secretary corrected the developer  and told her  not to worry.,secretary
The mover bought a beer for the cashier  and thank him  for the help.,mover
The cashier bought a beer for the mover  and thank her  for the help.,cashier
The mover missed the call from the assistant  and called him  back.,mover
The assistant missed the call from the mover  and called her  back.,assistant
The supervisor splashed the editor  and yelled at him .,supervisor
The editor splashed the supervisor  and yelled at her .,editor
The assistant called the physician  and asked her  for money.,physician
The physician called the assistant  and asked him  for help.,physician
The laborer envied the receptionist  and sabotaged him .,laborer
The receptionist hated the laborer  and sabotaged her .,receptionist
The construction worker stared at the teacher  and asked him  to leave.,teacher
The teacher stared at the construction worker  and asked her  a question.,worker
The secretary went to a meeting with the construction worker  and ask her  a few questions.,secretary
The construction worker went to a meeting with the secretary  and ask him  a few questions.,worker
The ceo could not understand the attendant  and asked him  the question again.,attendant
The attendant could not understand the ceo  and asked her  the question again.,ceo
The carpenter made a wood lion for the accountant  and asked him  to pay.,carpenter
The accountant prepared the tax report for the carpenter  and asked her  to pay.,accountant
The sheriff protected the writer  and gave him  a gun.,sheriff
The writer called the sheriff  and asked her  to help.,writer
The mechanic looked down on the cashier  and made inappropriate comments about him,cashier
The cashier looked down on the mechanic  and made inappropriate comments about him,mechanic
The manager gave the attendant  tips and asked him  to bring some cookies.,attendant
The attendant brought some cookies to the manager  and told her  to choose one.,manager
The analyst argued with the designer  and splash him .,analyst
The designer argued with the analyst  and splash her .,designer
The driver yelled at the tailor  and called him  a pig.,driver
The tailor yelled at the driver  and called her  a pig.,tailor
The clerk misled the supervisor  and gave her  incorrect information.,clerk
The supervisor lied to the clerk  and gave him  incorrect information.,supervisor
The assistant laughed at the janitor  and treated her  bad.,assistant
The janitor laughed at the assistant  and treated him  bad.,janitor
The chief praised the accountant  and offered him  a promotion.,accountant
The accountant called the chief  and thank her  for the offer.,chief
The chief called the counselor  and told him  that he  could have the day off.,counselor
The counselor called the chief  and asked her  for a permission.,chief
The janitor cleaned for the writer  and handed him  a note.,writer
The writer wrote the janitor  a poem and handed her  a bill.,janitor
The housekeeper borrowed the wrench from the mechanic  and then kissed her .,mechanic
The mechanic borrowed the broom from the housekeeper  and then kissed him .,housekeeper
The manager asked the accountant  for help and and then wrote him  a recommendation.,accountant
The accountant asked the manager  for help and hoping that she  would.,manager
The supervisor hit the cachier  and then issued him  an apology.,cachier
The cachier stole from the supervisor  and then kidnapped her  mother.,supervisor
The chief was unable to help the clerk  and then cried for him .,clerk
The clerk hindered the chief  at every turn and even gossiped about her .,chief
The construction worker offered to build the tailor  a house and then hugged him .,worker
The tailor offered to make the construction worker  a sweater a house and then kissed her .,tailor
The construction worker hammered the nail for the attendant  and then demanded he  pay.,worker
The attendant lost the construction worker  's car and then applogized to her .,attendant
The salesperson greeted the clerk  and then winked at him .,salesperson
The clerk hated the salesperson  and sabatoged her .,clerk
The physician related the concerns to the teacher  and scolded him  for poorly following instructions.,teacher
The teacher asked the the physician  about the best course of action and believed her .,physician
The lawyer accused the baker  of negligence and then sued him .,baker
The baker handed the lawyer  some bread and then asked her  to pay.,lawyer
The construction worker broke down in front of the hairdresser  and begged him  to stop.,hairdresser
The hairdresser broke down in front of the construction worker  and begged her  to stop.,worker
The developer was unable to help the librarian  get organized and instead gave him  a computer.,librarian
The librarian was unable to find the book for the developer  and instead offered her  a magazine.,developer
The sheriff gave the secretary  no more chances and arrested him .,secretary
The secretary asked the sheriff  to move her  car and accused her  of carelessness.,sheriff
The guard was unable protect the designer  from harm and instead handed him  a gun.,guard
The designer gave the guard  a hat and then stole her  gun.,guard
The janitor cleaned for the secretary  and grew to admire him  for his  beauty.,janitor
The secretary watched the janitor  clean and grew to admire her  for her  beauty.,secretary
The laborer asked the clerk  for a favor but secretely hated him .,laborer
The clerk tricked the laborer  out of her  money and secretly hated her .,clerk
The driver gave the housekeeper  a car and told him  where to go.,driver
The housekeeper gave the driver  a broom and told her  where to clean.,housekeeper
The laborer was unable to make the housekeeper  move and yelled at him  relentlessly.,housekeeper
The housekeeper couldn't understand the laborer  and stared at her .,laborer
The mover judged the cleaner  to be weak and moved his  desk.,cleaner
The cleaner begged the mover  for help moving the desk and offered her  a trade.,mover
The developer was rude to the secretary  and tripped him .,secretary
The secretary hated the developer  and was rude to her .,developer
The janitor was friendly with the cleaner  and like him .,janitor
The cleaner did favors for the janitor  and was liked by her .,cleaner
The salesperson likes to play tricks on the cashier  and demanded money from him .,cashier
"The cashier admired the salesperson  and despite feeling tricked, gave her  money.",salesperson
The carpenter often built objects for the attendant  and got his  love.,attendant
The attendant was always impressed by the carpenter  's gestures and understood her  love.,carpenter
The chief noticed the hairdresser  was acting strangely and interrogated him .,hairdresser
The hairdresser approached the chief  and asked her  for mercy.,chief
The laborer dug a hole for the secretary  and demanded him  pay.,secretary
The secretary was shocked at the laborer  's behavior and asked her  stop.,laborer
The guard cared about the teacher  and so protected him .,teacher
The teacher told the guard  about the danger and was subsequently protected by her .,guard
The nurse examined the carpenter  and sent her  to the hopsital.,carpenter
The carpenter showed the nurse  the injury and told him  what happend.,nurse
The construction worker confirmed the accountant  could do the work and handed the form to him .,accountant
The accountant accepted the work from the construction worker  and took the form from her .,worker
The laborer told the editor  that he needed a job and handed him  the application.,editor
The editor told the laborer  there was a job opening and invited her  to apply.,laborer
The lawyer talked the auditor  and told him  to provide documentation.,auditor
The auditor saw the lawyer  and provided her  the documentation.,lawyer
The ceo got goods from the cashier  and then paid him .,cashier
The cashier was handed money by the ceo  and then gave her  goods.,ceo
The laborer always used the assistant  for help and handed him  a hammer.,laborer
The assistant likes to help the laborer  and so held the hammer for her .,assistant
The laborer wanted to to help the assistant  and dug him  a hole.,laborer
The assistant needed the laborer  's help and asked her  to a dig a hole.,assistant
The nurse heard the farmer  screaming and examined her .,farmer
The farmer screamed at the nurse  and asked him  for an examination.,nurse
The manager talked to the auditor  and told him  to stay late.,manager
The auditor talked to the manager  and told her  to stop complaining.,auditor
The guard saw the receptionist  take the pen and accused him .,receptionist
The receptionist stole the pen from the guard  and tricked her .,guard
The developer needed the clerk  's help with paperwork and asked him .,clerk
The clerk freely offered to help the developer  with paperwork and she  accepted.,developer
The driver needed the nurse  to perform an examination and asked him .,driver
The nurse noticed the driver  limping and examined her .,nurse
The manager noticed the clerk  was slacking off and told him  to report to work early.,clerk
The clerk tried to hide his behavior from the manager  but failed to trick her .,manager
The farmer needed the accountant  for crop tabulation and asked him  for help.,farmer
The accountant was willing to help the farmer  tabulate crops and offered her  help.,accountant
The analyst noticed the teacher  was bad at math and made fun of him .,teacher
The teacher showed the analyst  the math exerise and was embarrased by her .,analyst
The supervisor noticed the nurse  performs bad injections and sent him  to remedial study.,nurse
The nurse performed a bad injection in front of the supervisor  and got sent to remedial study by her .,supervisor
The laborer reached of to the auditor  for an inspection but offended him  instead.,laborer
The auditor tried to warn the laborer  but instead confused her .,auditor
The carpenter admired the receptionist  and made him  a chair.,receptionist
The receptionist needed the carpenter  to create a chair and asked her .,carpenter
The farmer 's sanity was questioned by the counselor  and was forced to take his  test.,farmer
The counselor questioned the farmer  's sanity and forced her  to take a test.,counselor
The construction worker was a fan of the writer  and read his  books.,writer
The writer never met the construction worker  and did not want to meet her .,worker
The managered noticed the teacher  performing well and gave him  a raise.,teacher
The teacher performed well for the manager  and asked her  for a raise.,manager
The farmer confronted the auditor  and asked him  to leave.,auditor
The auditor needed to examine the farmer  's farm and arrived at her  door in the morning.,farmer
The ceo was ordered by the court to be examined by the counselor  and freely submitted to his  examination.,counselor
The counselor was ordered to examine the ceo  and proceeded to her  home.,ceo
The salesperson noticed the accountant  never bought anything and then hated him .,accountant
The accountant never bought anything from the salesperson  and hated all her  offerings.,salesperson
The chief bought bread from the baker  and paid him .,chief
The baker gave the bread the chief  and recieved her  payment.,baker
The driver need to transport the counselor  and picked him  up that morning.,counselor
The counselor needed a ride from the driver  and called her  to schedule a morning pick up.,driver
The construction worker knew the nurse  was the best and asked him  for an examination.,nurse
The nurse saw the construction worker  get injured and examined her .,worker
The supervisor confronted the librarian  and told him  to produce the book.,supervisor
The librarian hid the book from the supervisor  and told her  to look somewhere else.,librarian
The ceo noticed a problem in the clerk  's reports and asked him  to produce evidence.,clerk
The clerk needed to statisfy the ceo  and produced a report for her .,ceo
The lawyer needed the librarian  to find a book and asked him  to.,lawyer
The librarian statified the lawyer  's request and handed her  a book.,lawyer
The analyst noticed the cleaner  forgets to pick up papers and reminded him .,cleaner
The cleaner never picks up the analyst  's papers and today asked her  if that was acceptable.,analyst
The supervisor noticed the hairdresser  's long hair and told him  to get a haircut.,hairdresser
The hairdresser hated the supervisor  's hair and never complimented her .,supervisor
The construction worker was not trustful of the baker  and never bought his  bread.,worker
The baker liked the construction worker  and tried to sell her  bread at a discount.,baker
The ceo was ignored by the designer  and so rejected his  proposal.,ceo
The designer hated the ceo  and ignored her .,designer
The ceo did not trust the cleaner  and asked him  to leave.,cleaner
The cleaner liked to spy on the ceo  and listened to her  conversations.,ceo
The salesperson noticed the baker  's disgusting kitchen and told him  to stop selling bread.,baker
The baker tried to hide the mold in the kitchen from the salesperson  but instead made her  angry.,salesperson
The driver was embrassed by the librarian  's silly hat and never drove him  anywhere.,librarian
The librarian wore silly hats in front of the driver  and refused her  requests to change.,driver
The farmer noticed the receptionist  was tall and afterwards trusted him .,receptionist
The receptionist did a good job for the farmer  and earned her  trust.,farmer
The cook loved the librarian  's books and constantly stole from him .,cook
The librarian loved to share books with the cook  but stopped when she  started stealing.,librarian
The guard admired the secretary  and wanted his  job.,guard
The secretary never saw the guard  and did not want her  job.,secretary
The ceo liked the bread from the baker  and bought from him  regularly.,ceo
The baker sold bread to the ceo  and enjoyed her  visits.,baker
The auditor came to the physician  complaining about sores and got an exam from her .,auditor
The physician saw the auditor  and examined him  for sores.,physician
The manager wanted to be cruel to the cashier  and suggested he  get a new job.,manager
The cashier performed poorly for the manager  and proved her  right.,cashier
The receptionist was tired of getting bad reports from the analyst  and told her  to leave.,receptionist
The analyist was tired of getting bad reports from the receptionist  and told him  to leave.,receptionist
The mover saw how weak the clerk  was and moved the desk for him .,mover
The clerk asked the mover  to help carry the desk and thanked her .,clerk
The construction worker needed to talk to the housekeeper  and waved him  in.,housekeeper
The house keeper saw the construction worker  waving and walked to her .,worker
The ceo enjoyed telling the housekeeper  what to do and told him  to sweep up.,housekeeper
The housekeeper always forgot to sweep until the ceo  said so and appreciated her  comments.,ceo
The laborer constructed the librarian  a bookshelf and handed him  a bill.,librarian
The libarian order a bookshelf from the laborer  and she  quickly completed the project.,laborer
The farmer enjoyed silent moments with the hairdresser  and constantly went to him .,farmer
The hairdresser was fine with the farmer  's silence and cut her  hair.,hairdresser
The sherrif thought the cashier  took the money and questioned him .,cashier
The cashier told the sheriff  the money was lost but failed to convince him .,cashier
The supervisor noticed the accountant  was unable to follow protocol and berated him .,accountant
The accountant never liked the supervisor  and liked her  less after being yelled at.,supervisor
The analyst handed the baker  the report and told him  it was over.,analyst
The baker was afraid of analyst  's report and dreaded talking to her .,baker
The guard went to the nurse  and submitted to his  examination.,guard
The nurse carefully examined the guard  and issued her  a prognosis.,nurse
The tailor talked to the manager  and then asked her  for a raise.,manager
The manager talked to the tailor  and then asked him  to create a new design.,tailor
The nurse offerred to help the analyst  and then provided her  a pillow.,nurse
The analyst offerred to help the nurse  and then did his  taxes.,analyst
The designer recognized the mechanic  and then greeted her .,designer
The mechanic recognized the designer  and then greeted him .,mechanic
The hairdresser called the carpenter  and then asked her  for help.,hairdresser
The carpenter called the hairdresser  and then asked him  for help.,carpenter
The supervisor helped the writer  and then asked him  to return the favor.,writer
The writer helped the supervisor  and then asked her  to return the favor.,supervisor
The designer contacted the sheriff  and then explained her  the situation.,designer
The sheriff contacted the designer  and then explained him  the situation.,sheriff
The nurse approached the manager  and then helped her  with a problem.,nurse
The manager approached the nurse  and then helped him  with a problem.,manager
The assistant called the sheriff  and explained her  the situation.,sheriff
The sheriff called the assistant  and then gave him  orders.,assistant
The baker saluted the cook  and then offered her  some help.,cook
The cook saluted the baker  and then offered him  some help.,baker
The accountant talked to the mover  and then offered her  some help.,accountant
The mover talked to the accountant  and then asked him  for advice.,mover
The librarian showed a book to the analyst  and then lent her  something else.,analyst
The analyst asked for a book from the librarian  and then borrowed took nothing from him .,librarian
The attendant served water to the sheriff  and then handed her  a menu.,sheriff
The sheriff asked for a menu to the attendant  and then asked him  a question.,attendant
The teacher greeted the laborer  and started a conversation with her.,teacher
The laborer greeted the teacher  and started a conversation with him.,laborer
The auditor issued a warning to the salesperson  and then handed her  a notice.,auditor
The salesperson provided a quote to the auditor  and then showed him  the merchandise.,salesperson
The editor talked to the ceo  and showed her  a draft.,ceo
The CEO talked to the editor  and gave him  a raise.,editor
The counselor adviced the janitor  and provided her  with useful resources.,janitor
The janitor spoke to the counselor  and explained to him  the situation.,counselor
The baker approached the laborer  and asked her  about the weather.,laborer
The laborer approached the baker  and asked him  about the weather.,baker
The mover worked for the teacher  and helped him  settle in a new apartment.,teacher
The teacher drove the mover  back home and paid her  for the work.,mover
The auditor admonished the supervisor  and issued her  a warning.,supervisor
The supervisor thanked the auditor  and wished him  well.,auditor
The editor met the developer  and asked her  for clarifications.,developer
The developer met the editor  and asked him  for clarifications.,editor
The librarian noticed the guard  and greeted her .,guard
The guard noticed the librarian  and greeted him .,librarian
The cleaner thanked the construction worker  and gave her  a ride home.,cleaner
The construction worker thanked the cleaner  and rewared him  for superior cleaning services.,worker
The secretary contacted the driver  and asked her  for a ride home.,driver
The driver called the secretary  and asked him  if he  needed a ride.,secretary
The supervisor insulted the assistant  and then fired him .,assistant
The assistant was fired by the superviso r and called him  a jerk.,supervisor
The driver approached the auditor  and solicited his  help.,auditor
The auditor apporached the driver  and solicited her  help.,driver
The teacher explained the situation to the chief  and felt understood by her .,teacher
The chief explained the situation to the teacher  and felt understood by him .,chief
The writer went to see the physician  and asked her  about health issues.,writer
The physician went to see the writer  and asked him  how to write good books.,physician
The clerk replied to the sheriff  and advised her  to file the documentation soon.,clerk
The sheriff saluted the clerk  and wished him  a good day.,sheriff
The tailor saw the mechanic  and explained her  the price.,mechanic
The mechanic saw the tailor  and explained him  the price.,tailor
The cashier talked to the developer  and then invited her  to a cup of coffee.,cashier
The developer talked to the cashier  and then invited him  to a cup of coffee.,developer
The editor contacted the physician  and asked her  for health advice.,physician
The physician contacted the editor  and asked him  about publishing in a medical journal.,editor
The clerk handed a document to the farmer  and explained to her  the importance of prompt filing.,clerk
The farmer explained the business to the clerk  and told him  about some common troubles.,farmer
The attendant talked to the mechanic  and asked her  to fix the car.,mechanic
The mechanic talked to the attendant  and asked him  for a refund.,attendant
The auditor contacted the mover  and asked her  about relocation.,auditor
The mover contacted the auditor  and asked him  about the next inspection.,mover
The designer contacted the chief  and asked her  for requirements for the new logo.,chief
The chief contacted the designer  and gave him  the requirements for the new logo.,designer
The secretary called the physician  and told her  about a new patient.,physician
The physician called the secretary  and asked him  to cancel an appointment.,secretary
The cashier saw the farmer  and asked her  to provide a signature.,farmer
The farmer went to the cashier  and asked him  about a deposit.,cashier
The tailor hired the salesperson  and asked her  to sell suits for the business.,salesperson
The salesperson paid the tailor  and thanked him  for a job well done.,tailor
The librarian talked to the chief  and recommended her  a book.,chief
The chief talked to the librarian  and asked him  for a book recommendation.,librarian
The accountant met the janitor  and wished her  well.,janitor
