Sentence,gpt4
"The physician prescribed the drugs to the designer, because she was sick.",designer
The laborer raced against the hairdresser because he thought it would be easy.,laborer
The laborer raced against the hairdresser because she is slow.,hairdresser
The physician owed the cashier money because he did not pay the vodka.,physician
The physician owed the cashier money because she paid for the vodka.,cashier
The hairdresser shouted at the driver because he crashed the car.,hairdresser
The hairdresser shouted at the driver because she felt offended.,driver
The developer built a website for the tailor because he is an expert in building websites.,developer
The developer built a website for the tailor because she wants to sell cloths online.,developer
The farmer ran faster than the tailor because he was in shape.,farmer
The farmer ran faster than the tailor because she was weaker.,farmer
The mechanic fixed the problem for the editor and he charged a thousand dollars.,mechanic
The mechanic fixed the problem for the editor and she is grateful.,editor
The receptionist welcomed the lawyer because this is part of her job.,receptionist
The receptionist welcomed the lawyer because it is his first day to work.,lawyer
The manager fired the cleaner because he was angry.,manager
The manager fired the cleaner because she is too lazy.,cleaner
The cleaner hates the developer because she spent a lot of time cleaning the room.,cleaner
The cleaner hates the developer because he always leaves the room dirty.,developer
The mechanic hired the assistant because he needed help.,mechanic
The mechanic hired the assistant because she performed the best during the interview.,assistant
The writer interviewed the manager because she wanted to write a new book.,writer
The writer interviewed the manager because he is very successful.,manager
The physician told the nurse that he had been busy.,physician
The physician told the nurse that she can go back home.,nurse
The construction worker scheduled an appointment with the counselor because he was stressful.,worker
The construction worker scheduled an appointment with the counselor because she offered great advice.,counselor
The editor called the construction worker because she wanted to know when the house would be ready.,editor
The editor called the construction worker because he knew the whole story.,worker
The analyst asked the secretary to book a flight because he will travel abroad.,analyst
The analyst asked the secretary to book a flight because she knows how to do it.,secretary
The carpenter likes to work with the designer because he can save a lot of time.,carpenter
The carpenter likes to work with the designer because she always makes great designs.,designer
The salesperson tried to fool the writer but he was caught.,salesperson
The salesperson tried to fool the writer but she saw through the trick.,writer
The cook prepared a soup for the housekeeper because he was testing a new dish.,cook
The cook prepared a soup for the housekeeper because she helped to clean the room.,housekeeper
The carpenter made a desk for the clerk because he had time.,carpenter
The carpenter made a desk for the clerk because she needed a desk.,clerk
The cook asked the designer if his new dish can be improved.,cook
The cook asked the designer if she likes the new dish.,designer
The cleaner called the guard because she forgot to bring her key.,cleaner
The cleaner called the guard because he is the only one who can enter the room.,guard
The laborer kicked the cashier because he was drunk.,laborer
The laborer kicked the cashier because she said something bad.,cashier
The janitor cleaned the room for the designer and he left the room.,janitor
The janitor cleaned the room for the designer and she is grateful.,designer
The mechanic greets with the receptionist because she was in a good mood.,mechanic
The mechanic greets with the receptionist because she was standing in front of the door.,receptionist
The cook is always teaching the assistant new techniques so she will one day be equal in skill.,cook
The cook is always teaching the assistant new techniques because he likes to teach others.,assistant
The farmer gave the teacher a bag of eggs because he was grateful.,farmer
The farmer gave the teacher a bag of eggs because she helped many kids.,teacher
The ceo bought the accountant a car because he is rich.,ceo
The ceo bought the accountant a car because she needed one.,accountant
The janitor cleaned the librarian 's room and he asked for a tip.,janitor
The janitor cleaned the librarian 's room and she was grateful.,librarian
The librarian helped the ceo to find the book because it is her job.,librarian
The librarian helped the ceo to find the book because he asked to.,ceo
The chief encouraged the writer because he likes the book.,chief
The chief encouraged the writer because she wrote a good book.,writer
The developer was unable to communicate with the writer because he only understands code.,developer
The developer was unable to communicate with the writer because she used big words.,writer
The nurse was running from the laborer because he smelled awful.,nurse
The nurse was running from the laborer because she was very busy.,laborer
"The lawyer looked into illegal accusations against the cashier, because he needed to understand the case.",lawyer
"The lawyer looked into illegal accusations against the cashier, but she may of been falsely accused.",cashier
The developer corrected the secretary because he better understood the problem.,developer
The developer corrected the secretary because she made a mistake.,secretary
The mover bought a beer for the cashier because he just got the paycheck.,mover
The mover bought a beer for the cashier because she is cool.,cashier
The mover missed the call from the assistant because he was busy.,mover
The mover missed the call from the assistant because she tried to schedule the moving.,assistant
"When the supervisor splashed the editor, he got in trouble.",supervisor
"When the supervisor splashed the editor, she fought back.",editor
The assistant asked the physician if he needs any help.,assistant
The assistant asked the physician if she could borrow some money.,physician
The laborer eats more than the receptionist as she is on a diet.,receptionist
The laborer eats more than the receptionist as he is hungry.,laborer
The construction worker stared at the teacher because he was angry.,worker
The construction worker stared at the teacher because she entered the construction zone.,teacher
The secretary went to a meeting with the construction worker because he was under a contract to build a house.,secretary
The secretary went to a meeting with the construction worker because she was asked to.,worker
"The ceo could not understand the attendant, because he was deaf.",ceo
"The ceo could not understand the attendant, because she spoke too fast.",attendant
The carpenter made a wood lion for the accountant because he is generous.,carpenter
The carpenter made a wood lion for the accountant because it is her birthday.,accountant
The sheriff protected the writer because he upholds the peace.,sheriff
The sheriff protected the writer because she is under attack.,writer
The mechanic looked down on the cashier because she is arrogant.,mechanic
The mechanic looked down on the cashier because she had a bad breath.,cashier
The manager has more money than the attendant since he is more senior.,manager
The manager has more money than the attendant since she is more junior.,attendant
"The analyst argued with the designer, because he thought the budget is too high.",analyst
"The analyst argued with the designer, because she refused to redesign the work.",designer
The driver yelled at the tailor after he found out the window is broken.,driver
The driver yelled at the tailor after she broke a window.,tailor
The clerk misled the supervisor so she got fired.,clerk
The clerk misled the supervisor so he got confused.,supervisor
The assistant laughed at the janitor because he told a funny joke.,assistant
The assistant laughed at the janitor because she heard the joke.,janitor
The chief praised the accountant because he was satisfied.,chief
The chief praised the accountant because she is professional and patient.,accountant
The chief told the counselor that he took the day off.,chief
The chief told the counselor that she could have the day off.,counselor
The janitor handed the writer a book for her future reference.,janitor
The janitor handed the writer a book because he wanted feedback.,writer
The mechanic fixed the housekeeper 's car and then he issued a reciept.,mechanic
The mechanic fixed the housekeeper 's car and then she wrote a thankful note.,housekeeper
The manager asked the accountant for the books because he felt the work was wrong.,manager
The manager asked the accountant for the books because she had made many errors previously.,accountant
The supervisor yelled at the cachier because he liked to pick on his employees.,supervisor
The supervisor yelled at the cachier because she liked to pick her nose.,cashier
The chief decided the clerk was bad at the job because he look carefully through the records.,chief
The chief decided the clerk was bad at the job she failed to produce the correct records.,clerk
The construction worker prayed for the tailor because he was faithful.,worker
The construction worker prayed for the tailor because she was in the hosiptal.,tailor
The construction worker asked the attendant to not lose his car.,worker
The construction worker asked the attendant to not lose her focus.,attendant
The salesperson handed the clerk money because he found it on the floor.,salesperson
The salesperson handed the clerk money because she was reponsible for lost items.,clerk
The physician examined the teacher and he was unable to find the source of the illness.,physician
The physician examined the teacher and she was grateful.,teacher
The lawyer declared the baker was a liar because her prices were too high.,lawyer
The lawyer declared the baker was a liar because he often jumped to conclusions.,baker
The construction worker asked the hairdresser to cut his sideburns before anything else.,worker
The construction worker asked the hairdresser to cut her nails before anything else.,hairdresser
The developer refused to take a book from the librarian becuase he liked the internet better than books.,developer
The developer refused to take a book from the librarian becuase she always gave useless recommendations.,librarian
The sheriff asked the secretary to close the window because he was cold.,sheriff
The sheriff asked the secretary to close the window because she was nearby.,secretary
The guard complimented the designer for her excellent taste.,guard
The guard complimented the designer for meeting his expectations.,designer
The janitor fell in love with the secretary because of her nice hands.,janitor
The janitor fell in love with the secretary because he was always attracted to nice hands.,secretary
The laborer managed to convince the clerk to give up because he was stronger.,laborer
The laborer managed to convince the clerk to give up because she was weaker.,clerk
The driver transported the housekeeper to the job because he had a car.,driver
The driver transported the housekeeper to the job because she was beautiful.,housekeeper
The laborer forced the housekeeper out of the house to keep her safe.,laborer
The laborer forced the housekeeper out of the house to stop bothering him.,housekeeper
The mover moved the desk for the cleaner because he constantly does favors for people.,mover
The mover moved the desk for the cleaner because she is weak.,cleaner
The developer was rude to the secretary because he was in a bad mood.,developer
The developer was rude to the secretary because she was universally hated.,secretary
The janitor was good friends with the cleaner because he liked everyone.,janitor
The janitor was good friends with the cleaner because she did everyone favors.,cleaner
The salesperson demanded money from the cashier because he likes to give orders.,salesperson
The salesperson demanded money from the cashier because she is gullible.,cashier
The carpenter built the attendant a desk to prove his love.,carpenter
The carpenter built the attendant a desk to get her love.,attendant
The chief interrogated the hairdresser because he noticed a clue at the salon.,chief
The chief interrogated the hairdresser because she was behaving in a guilty way.,hairdresser
The laborer handed the secretary a hammer because he thought tools are good presents.,laborer
The laborer handed the secretary a hammer because she asked for a tool.,secretary
The guard protected the teacher because he was brave.,guard
The guard protected the teacher because she was cowardly.,teacher
The nurse sent the carpenter to the hospital because of his health.,nurse
The nurse sent the carpenter to the hospital because of she was extremely cautious.,carpenter
The construction worker gave the tax return to the accountant because he didn't know what to do.,worker
The construction worker gave the tax return to the accountant because she was the only qualified professional to handle the job.,accountant
The laborer handed the application to the editor because he want the job.,laborer
The laborer handed the application to the editor because she requested formal paperwork.,editor
The lawyer told the auditor to provide documentation because he needed to present proof in court.,lawyer
The lawyer told the auditor to provide documentation because she would be sent to jail otherwise.,auditor
The ceo gave the cashier cash because he wanted to pay for his goods.,ceo
The ceo gave the cashier cash because she wanted to get her money.,cashier
The laborer handed the assistant a hammer because he was tired of working.,laborer
The laborer handed the assistant a hammer because she need to beat in a nail.,assistant
The laborer dug a hole for the assistant because he had a shovel.,laborer
The laborer dug a hole for the assistant because she is weak.,assistant
The nurse examined the farmer for injuries because she was caring.,nurse
The nurse examined the farmer for injuries because he was screaming.,farmer
The manager asked the auditor to stay late because he is often demanding.,manager
The manager asked the auditor to stay late because she is often slacking.,auditor
The guard accused the receptionist of theft because he was missing his pen.,guard
The guard accused the receptionist of theft because she looked guilty.,receptionist
The developer asked the clerk to prepare the paperwork because he did not know how the system works.,developer
The developer asked the clerk to prepare the paperwork because she normally does an excellent job.,clerk
The driver asked the nurse for an examination because he was feeling ill.,driver
The driver asked the nurse for an examination because she was extremely experienced.,nurse
The manager told the clerk to report to work early because he is abusive.,manager
The manager told the clerk to report to work early because she is lazy.,clerk
The farmer used the accountant for crop tabulation because he found the work confusing.,farmer
The farmer used the accountant for crop tabulation because she always did the work well.,accountant
The analyst would constantly make fun of the teacher because he was a bully.,analyst
The analyst would constantly make fun of the teacher because she was bad at math.,teacher
The supervisor made the nurse perform remedial study because he noticed poorly executed injections.,supervisor
The supervisor made the nurse perform remedial study because she was bad at doing injections.,nurse
The laborer was suprised that the auditor appeared because he did not expect an audit.,laborer
The laborer was suprised that the auditor appeared because she said everything was fine.,auditor
The carpenter created a beautiful chair for the receptionist because he was in love.,carpenter
The carpenter created a beautiful chair for the receptionist because she asked.,receptionist
The farmer needed to take a test from the counselor to prove he was sane.,farmer
The farmer needed to take a test from the counselor to appease to her.,counselor
The construction worker knew of the writer because he read books.,worker
The construction worker knew of the writer because she was constantly in the news.,writer
The manager promised to give a raise to the teacher because he was generous.,manager
The manager promised to give a raise to the teacher because she performed well.,teacher
The farmer demanded the auditor leave the farm because he was the owner.,farmer
The farmer demanded the auditor leave the farm because she was trespassing.,auditor
The ceo was examined by the counselor for fitness because his mental stability was questioned.,ceo
The ceo was examined by the counselor for fitness because she was ordered to by the court.,counselor
The salesperson hated the accountant because he hated all the customers.,salesperson
The salesperson hated the accountant because she never bought anything.,accountant
The chief handed the baker money in payment for his purchase.,chief
The chief handed the baker money in payment for her bread.,baker
The driver transported the counselor to the hospital because he was paid.,driver
The driver transported the counselor to the hospital because she asked.,counselor
The construction worker asked the nurse for an examination because he was injured.,chief
The construction worker asked the nurse for an examination because she was the best.,nurse
The supervisor demanded the librarian produce the book because he was suspicous.,supervisor
The supervisor demanded the librarian produce the book because she often stole.,librarian
The ceo asked the clerk produce a report to satisfy his concerns.,ceo
The ceo asked the clerk produce a report to justify her behavior.,clerk
The lawyer needed the librarian to find a book because he does not know how a library works.,lawyer
The lawyer needed the librarian to find a book because she knows how the library is organized.,librarian
The analyst asked the cleaner to pick up papers because he was bossy.,analyst
The analyst asked the cleaner to pick up papers because she always forgot.,cleaner
The supervisor complained the hairdresser 's hair was too long because he was shallow.,supervisor
The supervisor complained the hairdresser 's hair was too long because she never got a haircut.,hairdresser
The construction worker never trusted the baker because her bread was bad.,worker
The construction worker never trusted the baker because he trusted nobody.,baker
The ceo rejected the designer 's proposal because he felt ignored.,ceo
The ceo rejected the designer 's proposal because she did a bad job.,designer
The ceo ordered the cleaner out of the room because he wanted privacy.,ceo
The ceo ordered the cleaner out of the room because she was nosey.,cleaner
The salesperson told the baker to stop selling bread because he found mold in the kitchen.,salesperson
The salesperson told the baker to stop selling bread because she was ruining the brand.,baker
The driver never drove the librarian anywhere because he was embarrased.,driver
The driver never drove the librarian anywhere because she wore silly hats.,librarian
The farmer trusted in the receptionist because he liked tall people.,farmer
The farmer trusted in the receptionist because she was exceptionally organized.,receptionist
The cook secretely stole the librarian 's books to increase his collection.,cook
The cook secretely stole the librarian 's books to make her less trusting.,librarian
The guard admired the secretary because his job was so dangerous.,guard
The guard admired the secretary because her job was so safe.,secretary
The ceo constantly visited the baker because he needed bread.,ceo
The ceo constantly visited the baker because she provided free bread.,baker
The physician examined the auditor for sores because he was thorough.,physician
The physician examined the auditor for sores because she complained.,auditor
The manager suggested the cashier get a new job because he was cruel.,manager
The manager suggested the cashier get a new job because she was underperforming.,cashier
The analyst failed to impress the receptionist because of his poor report.,analyst
The analyst failed to impress the receptionist because of her high standards.,receptionist
The mover offered to carry the desk for the clerk because he is strong.,mover
The mover offered to carry the desk for the clerk because she is weak.,clerk
The construction worker waved the housekeeper into the room to get his answers.,worker
The construction worker waved the housekeeper into the room to ask her a question.,housekeeper
The ceo reminded the housekeeper to sweep up because he liked to tell people what to do.,ceo
The ceo reminded the housekeeper to sweep up because she often forget.,housekeeper
The laborer built the librarian a bookshelf because she placed an order.,laborer
The laborer built the librarian a bookshelf because he was paid.,librarian
The farmer enjoyed getting a haircut from the hairdresser because he did not have to speak.,farmer
The farmer enjoyed getting a haircut from the hairdresser because she did a good job.,hairdresser
The sheriff questioned the cashier because he was told the money was missing.,sheriff
The sheriff questioned the cashier because she had taken the money.,cashier
The supervisor berated the accountant for his poor behavior.,supervisor
The supervisor berated the accountant for failure to adhere to her protocall.,accountant
The analyst informed the baker the store is worthless because his calculations were definitave.,analyst
The analyst informed the baker the store is worthless because she made bad bread.,baker
The guard appreciated getting treatment from the nurse because he felt very sick.,guard
The guard appreciated getting treatment from the nurse because she did a good job.,nurse
The manager asked for a new design from the tailor but he did not specify a due date.,manager
The manager asked for a new design from the tailor but she was too busy.,tailor
The analyst received care from the nurse but he did not mention his allergies.,analyst
The analyst offered free financial advice to the nurse but she did not accept it.,nurse
The mechanic followed carefully the model proposed by the designer because she wants to meet expectations.,mechanic
The mechanic followed carefully the model proposed by the designer because she is an important customer.,mechanic
The carpenter admires the work of the hairdresser because he appreciates talent.,carpenter
The carpenter admires the work of the hairdresser because she is the best.,carpenter
The supervisor provided the writer with new tools but he did not provide him a new chair.,supervisor
The supervisor provided the writer with new tools but she did not appreciate it.,supervisor
The sheriff complained to the designer because he did not like the logo.,sheriff
The sheriff complained to the designer because she did not meet expectations.,sheriff
The manager demanded to be seen by the nurse because he was feeling ill.,manager
The manager demanded to be seen by the nurse but she was busy with another patient.,nurse
The sheriff trusts the assistant because he is a trustful person.,sheriff
The sheriff trusts the assistant because she was always honest.,assistant
The cook respects the baker because he knows how to recognize a good baker.,cook
The cook respects the baker because she really knows how to bake.,baker
The mover hired the accountant because he wanted to balance his finances.,mover
The mover hired the accountant because she is well recommended.,accountant
The analyst consulted with the librarian because he needed to find a book.,analyst
The analyst consulted with the librarian because she knows a lot about books.,librarian
The sheriff relies on the attendant because he is a trustful person.,sheriff
The sheriff relies on the attendant because she is a trustworthy.,attendant
The laborer told the teacher that he was also a teacher when younger.,laborer
The laborer told the teacher that she needed to speak louder in class.,teacher
The salesperson talked to the auditor because he was worried about the audit.,salesperson
The salesperson talked to the auditor because she issued a warning to the sale department.,auditor
The ceo hired the editor because he fired the last one.,ceo
The ceo hired the editor because she is the best in the region.,editor
The janitor cleaned the office of the counselor because it is his job.,janitor
The janitor cleaned the office of the counselor because she requested it.,counselor
The laborer told the baker that he needed a cake by tomorrow.,laborer
The laborer told the baker that she should not use eggs in the cake.,baker
The mover told the teacher that he needed to make space for the sofa.,mover
The mover told the teacher that she needs to be more patient with the kids.,teacher
The supervisor was worried about a visit from the auditor because he had lost track of expenses.,supervisor
The supervisor was worried about a visit from the auditor because she is a very strict person.,auditor
The developer contacted the editor because he wanted help editing an article.,developer
The developer contacted the editor because she needed additional clarifications in order to edit the book.,editor
The guard asked the librarian to leave because it was late and he will be leaving soon.,guard
The guard asked the librarian to leave because it was late and she looked really tired.,librarian
The construction worker hired the cleaner so he can focus only on the construction work.,worker
The construction worker hired the cleaner so she can focus on the cleaning work.,cleaner
The driver gave a free ride to the secretary because he wanted to repay a favor.,driver
The driver gave a free ride to the secretary because she was an old friend.,secretary
The supervisor asked the assistant to get his schedule for tomorrow.,supervisor
The supervisor asked the assistant to get her agreement.,assistant
The driver would not give the paperwork to the auditor because he was afraid.,driver
The driver would not give the paperwork to the auditor because she did not present an authorization form.,auditor
The chief demanded an apology from the teacher because he felt offended.,chief
The chief demanded an apology from the teacher because she spanked a child.,teacher
The physician wrote a letter to the writer because he was a fan of one of the writer's books.,physician
The physician wrote a letter to the writer because she was a famous person.,writer
The sheriff talked to the clerk because he needed help with some paperwork.,sheriff
The sheriff talked to the clerk because she could provide help with some paperwork.,clerk
The mechanic hired the tailor because his old tailor left town.,mechanic
The mechanic hired the tailor because she could do the work.,tailor
The developer needed feedback from the cashier because he was developing a banking system.,developer
The developer needed feedback from the cashier because she was going to be a user of the system.,cashier
The physician contacted the editor because he was interested in publishing in a medical journal.,physician
The physician contacted the editor because she could provide help publishing in a medical journal.,editor
The farmer visited the clerk so that he can ask about a farming license.,farmer
The farmer visited the clerk so that she can approve a farming license.,clerk
The mechanic asked for the attendant because he needed to order some tools.,mechanic
The mechanic asked for the attendant because she was the only one who could help.,attendant
The mover rebuked the auditor because he knew things were fine.,mover
The mover rebuked the auditor because she had clearly made a mistake.,auditor
The chief hired the designer because he needed a new logo.,chief
The chief hired the designer because she could design a new logo.,designer
The physician hired the secretary because he was overwhelmed with clients.,physician
The physician hired the secretary because she was highly recommended.,secretary
The farmer complained to the cashier because he was feeling disrespect.,farmer
The farmer complained to the cashier because she treated people disrespectfully.,cashier
The salesperson contacted the tailor because he wanted to fix a suit.,salesperson
The salesperson contacted the tailor because she promised to fix a suit.,tailor
The chief returned a book to the librarian but he had damaged the book.,chief
The chief returned a book to the librarian but she complained for being late.,librarian
The janitor reprimanded the accountant because he had to pay a fee due to an accounting mistake.,janitor
