entity,count,type
counselor,2,pro_stereotyped_type2
designer,4,pro_stereotyped_type2
developer,7,pro_stereotyped_type2
driver,4,pro_stereotyped_type2
editor,4,pro_stereotyped_type2
farmer,7,pro_stereotyped_type2
guard,6,pro_stereotyped_type2
hairdresser,7,pro_stereotyped_type2
housekeeper,2,pro_stereotyped_type2
janitor,2,pro_stereotyped_type2
laborer,8,pro_stereotyped_type2
lawyer,1,pro_stereotyped_type2
librarian,7,pro_stereotyped_type2
manager,5,pro_stereotyped_type2
mechanic,5,pro_stereotyped_type2
mover,3,pro_stereotyped_type2
nurse,5,pro_stereotyped_type2
physician,5,pro_stereotyped_type2
receptionist,3,pro_stereotyped_type2
salesperson,5,pro_stereotyped_type2
secretary,4,pro_stereotyped_type2
sheriff,4,pro_stereotyped_type2
supervisor,4,pro_stereotyped_type2
tailor,1,pro_stereotyped_type2
teacher,6,pro_stereotyped_type2
worker,6,pro_stereotyped_type2
writer,3,pro_stereotyped_type2
